t,ksd,seed,type
489,0.010104953,0,target
490,0.026661843,0,off-target
490,0.012429016,0,target
491,0.026611922,0,off-target
491,0.01206861,0,target
492,0.024862321,0,off-target
492,0.0120240785,0,target
493,0.023743719,0,off-target
493,0.010867969,0,target
494,0.020659305,0,off-target
494,0.010879008,0,target
495,0.022843812,0,off-target
495,0.012872664,0,target
496,0.02382104,0,off-target
496,0.011434828,0,target
497,0.02561011,0,off-target
497,0.010774516,0,target
498,0.025145555,0,off-target
498,0.010583563,0,target
499,0.025589563,0,off-target
499,0.011577164,0,target
500,0.026635827,0,off-target
500,0.01069482,0,target
501,0.026651938,0,off-target
501,0.011215633,0,target
502,0.027158039,0,off-target
502,0.010829,0,target
503,0.027355788,0,off-target
503,0.012292289,0,target
504,0.027461,0,off-target
504,0.012603836,0,target
505,0.025750117,0,off-target
505,0.012071094,0,target
506,0.02725639,0,off-target
506,0.013217602,0,target
507,0.027863117,0,off-target
507,0.013080696,0,target
508,0.030827524,0,off-target
508,0.013288633,0,target
509,0.03168662,0,off-target
509,0.012198109,0,target
510,0.032586843,0,off-target
510,0.011690657,0,target
511,0.03003871,0,off-target
511,0.012862453,0,target
512,0.030099351,0,off-target
512,0.011116703,0,target
513,0.033491038,0,off-target
513,0.01148068,0,target
514,0.034588154,0,off-target
514,0.011589438,0,target
515,0.03151408,0,off-target
515,0.012131383,0,target
516,0.029494187,0,off-target
516,0.012138368,0,target
517,0.028758086,0,off-target
517,0.012120351,0,target
518,0.029170312,0,off-target
518,0.013081961,0,target
519,0.02823779,0,off-target
519,0.012665226,0,target
520,0.02536947,0,off-target
520,0.010870812,0,target
521,0.025961556,0,off-target
521,0.010618953,0,target
522,0.025409093,0,off-target
522,0.0100538125,0,target
523,0.023228047,0,off-target
523,0.009063258,0,target
524,0.021912172,0,off-target
524,0.009406961,0,target
525,0.023176258,0,off-target
525,0.009209344,0,target
526,0.021664657,0,off-target
526,0.009756507,0,target
527,0.018863235,0,off-target
527,0.011153485,0,target
528,0.018709805,0,off-target
528,0.010310219,0,target
529,0.020033758,0,off-target
529,0.010442023,0,target
