t,ksd,seed,type
479,0.0058448906,0,target
480,0.011728562,0,off-target
480,0.007985613,0,target
481,0.0075643905,0,off-target
481,0.01057123,0,target
482,0.016759923,0,off-target
482,0.010994957,0,target
483,0.0111624375,0,off-target
483,0.011690109,0,target
484,0.01009425,0,off-target
484,0.006096164,0,target
485,0.015116578,0,off-target
485,0.007631918,0,target
486,0.004480672,0,off-target
486,0.0047524725,0,target
487,0.0065505,0,off-target
487,0.007311285,0,target
488,0.011598063,0,off-target
488,0.010027601,0,target
489,0.018119125,0,off-target
489,0.006660266,0,target
490,0.014217984,0,off-target
490,0.0073407344,0,target
491,0.009883391,0,off-target
491,0.006063914,0,target
492,0.006157672,0,off-target
492,0.0059721367,0,target
493,0.010590031,0,off-target
493,0.008286809,0,target
494,0.023405468,0,off-target
494,0.01737716,0,target
495,0.017176375,0,off-target
495,0.01106784,0,target
496,0.012342485,0,off-target
496,0.008118516,0,target
497,0.0076751565,0,off-target
497,0.0039887577,0,target
498,0.00761675,0,off-target
498,0.004456953,0,target
499,0.0074535157,0,off-target
499,0.012384914,0,target
500,0.005579922,0,off-target
500,0.0074082343,0,target
501,0.00536125,0,off-target
501,0.004324621,0,target
502,0.007969406,0,off-target
502,0.009582367,0,target
503,0.0132997185,0,off-target
503,0.0066025704,0,target
504,0.014970906,0,off-target
504,0.012218609,0,target
505,0.0129395,0,off-target
505,0.008396473,0,target
506,0.009409796,0,off-target
506,0.008623355,0,target
507,0.013312484,0,off-target
507,0.011997844,0,target
508,0.009321,0,off-target
508,0.009634375,0,target
509,0.008405812,0,off-target
509,0.0042736446,0,target
510,0.017173203,0,off-target
510,0.0123198,0,target
511,0.012746516,0,off-target
511,0.014675211,0,target
512,0.019281032,0,off-target
512,0.023612598,0,target
513,0.017235782,0,off-target
513,0.013355926,0,target
514,0.010346157,0,off-target
514,0.0042999494,0,target
515,0.01800414,0,off-target
515,0.009772516,0,target
516,0.014470281,0,off-target
516,0.008519161,0,target
517,0.01870189,0,off-target
517,0.010787117,0,target
518,0.009602078,0,off-target
518,0.007942367,0,target
519,0.006929875,0,off-target
519,0.011170051,0,target
520,0.0073219533,0,off-target
520,0.01161323,0,target
521,0.007143344,0,off-target
521,0.009929898,0,target
522,0.011604265,0,off-target
522,0.0114,0,target
523,0.011899235,0,off-target
523,0.0066145468,0,target
524,0.01294989,0,off-target
524,0.020592656,0,target
525,0.009686938,0,off-target
525,0.013126664,0,target
526,0.0088865785,0,off-target
526,0.016605215,0,target
527,0.007910547,0,off-target
527,0.008269656,0,target
