n,p_value,seed,type
500,0.765,513,target
500,0.99,514,off-target
500,0.578,514,target
500,0.787,515,off-target
500,0.076,515,target
500,0.238,516,off-target
500,0.395,516,target
500,0.305,517,off-target
500,0.553,517,target
500,0.237,518,off-target
500,0.558,518,target
500,0.483,519,off-target
500,0.167,519,target
500,0.967,520,off-target
500,0.028,520,target
500,0.979,521,off-target
500,0.772,521,target
500,0.087,522,off-target
500,0.105,522,target
500,0.589,523,off-target
500,0.228,523,target
500,0.338,524,off-target
500,0.226,524,target
500,0.344,525,off-target
500,0.283,525,target
500,0.511,526,off-target
500,0.08,526,target
500,0.767,527,off-target
500,0.485,527,target
500,0.472,528,off-target
500,0.636,528,target
500,0.667,529,off-target
500,0.707,529,target
500,0.648,530,off-target
500,0.248,530,target
500,0.187,531,off-target
500,0.182,531,target
500,0.088,532,off-target
500,0.982,532,target
500,0.959,533,off-target
500,0.529,533,target
500,0.066,534,off-target
500,0.432,534,target
500,0.313,535,off-target
500,0.136,535,target
500,0.516,536,off-target
500,0.441,536,target
500,0.77,537,off-target
500,0.068,537,target
500,0.962,538,off-target
500,0.829,538,target
500,0.012,539,off-target
500,0.868,539,target
500,0.811,540,off-target
500,0.411,540,target
500,0.155,541,off-target
500,0.518,541,target
500,0.193,542,off-target
500,0.413,542,target
500,0.095,543,off-target
500,0.886,543,target
500,0.995,544,off-target
500,0.989,544,target
500,0.477,545,off-target
500,0.828,545,target
500,0.375,546,off-target
500,0.705,546,target
500,0.345,547,off-target
500,0.676,547,target
500,0.801,548,off-target
500,0.623,548,target
500,0.637,549,off-target
500,0.257,549,target
500,0.374,550,off-target
500,0.987,550,target
500,0.177,551,off-target
500,0.622,551,target
500,0.833,552,off-target
500,0.568,552,target
500,0.125,553,off-target
500,0.069,553,target
500,0.552,554,off-target
500,0.492,554,target
500,0.492,555,off-target
500,0.54,555,target
500,0.359,556,off-target
500,0.475,556,target
500,0.561,557,off-target
500,0.949,557,target
500,0.982,558,off-target
500,0.307,558,target
500,0.913,559,off-target
500,0.729,559,target
500,0.22,560,off-target
500,0.053,560,target
500,0.906,561,off-target
500,0.265,561,target
500,0.411,562,off-target
500,0.065,562,target
500,0.704,563,off-target
500,0.287,563,target
500,0.228,564,off-target
500,0.441,564,target
500,0.674,565,off-target
500,0.265,565,target
500,0.344,566,off-target
500,0.035,566,target
500,0.593,567,off-target
500,0.469,567,target
500,0.459,568,off-target
500,0.796,568,target
500,0.575,569,off-target
500,0.736,569,target
500,0.071,570,off-target
500,0.791,570,target
500,0.991,571,off-target
500,0.393,571,target
500,0.849,572,off-target
500,0.673,572,target
500,0.229,573,off-target
500,0.459,573,target
500,0.373,574,off-target
500,0.195,574,target
500,0.385,575,off-target
500,0.751,575,target
500,0.802,576,off-target
500,0.021,576,target
500,0.462,577,off-target
500,0.221,577,target
500,0.361,578,off-target
500,0.252,578,target
500,0.192,579,off-target
500,0.49,579,target
500,0.66,580,off-target
500,0.164,580,target
500,0.01,581,off-target
500,0.582,581,target
500,0.313,582,off-target
500,0.067,582,target
500,0.757,583,off-target
500,0.254,583,target
500,0.857,584,off-target
500,0.518,584,target
500,0.63,585,off-target
500,0.627,585,target
500,0.032,586,off-target
500,0.389,586,target
500,0.12,587,off-target
500,0.188,587,target
500,0.273,588,off-target
500,0.851,588,target
500,0.051,589,off-target
500,0.456,589,target
500,0.235,590,off-target
500,0.116,590,target
500,0.061,591,off-target
500,0.818,591,target
500,0.693,592,off-target
500,0.697,592,target
500,0.002,593,off-target
500,0.804,593,target
500,0.45,594,off-target
500,0.606,594,target
500,0.254,595,off-target
500,0.904,595,target
500,0.684,596,off-target
500,0.394,596,target
500,0.482,597,off-target
500,0.454,597,target
500,0.693,598,off-target
500,0.057,598,target
500,0.253,599,off-target
500,0.095,599,target
500,0.596,600,off-target
500,0.051,600,target
500,0.882,601,off-target
500,0.426,601,target
500,0.42,602,off-target
500,0.175,602,target
500,0.04,603,off-target
500,0.397,603,target
500,0.912,604,off-target
500,0.585,604,target
500,0.525,605,off-target
500,0.266,605,target
500,0.833,606,off-target
500,0.641,606,target
500,0.563,607,off-target
500,0.817,607,target
500,0.388,608,off-target
500,0.178,608,target
500,0.609,609,off-target
500,0.864,609,target
500,0.019,610,off-target
500,0.994,610,target
500,0.483,611,off-target
500,0.346,611,target
500,0.865,612,off-target
500,0.376,612,target
500,0.368,613,off-target
500,0.83,613,target
500,0.801,614,off-target
500,0.326,614,target
500,0.817,615,off-target
500,0.515,615,target
500,0.054,616,off-target
500,0.757,616,target
500,0.278,617,off-target
500,0.519,617,target
500,0.977,618,off-target
500,0.013,618,target
500,0.901,619,off-target
500,0.936,619,target
500,0.769,620,off-target
500,0.29,620,target
500,0.716,621,off-target
500,0.559,621,target
500,0.126,622,off-target
500,0.009,622,target
500,0.359,623,off-target
500,0.654,623,target
500,0.847,624,off-target
500,0.845,624,target
500,0.953,625,off-target
500,0.522,625,target
500,0.734,626,off-target
500,0.072,626,target
500,0.399,627,off-target
500,0.377,627,target
500,0.065,628,off-target
500,0.455,628,target
500,0.943,629,off-target
500,0.532,629,target
500,0.717,630,off-target
500,0.28,630,target
500,0.938,631,off-target
500,0.309,631,target
500,0.925,632,off-target
500,0.615,632,target
500,0.497,633,off-target
