n,t,p_value,seed,type
500,0,0.96,200,off-target
500,0,0.406,200,target
500,1450,0.99,200,off-target
500,1450,0.956,200,target
500,0,0.266,201,off-target
500,0,0.396,201,target
500,1450,0.854,201,off-target
500,1450,0.758,201,target
500,0,0.008,202,off-target
500,0,0.805,202,target
500,1450,0.094,202,off-target
500,1450,0.828,202,target
500,0,0.381,203,off-target
500,0,0.769,203,target
500,1450,0.888,203,off-target
500,1450,0.551,203,target
500,0,0.059,204,off-target
500,0,0.742,204,target
500,1450,0.878,204,off-target
500,1450,0.248,204,target
500,0,0.334,205,off-target
500,0,0.302,205,target
500,1450,0.312,205,off-target
500,1450,0.407,205,target
500,0,0.403,206,off-target
500,0,0.685,206,target
500,1450,0.299,206,off-target
500,1450,0.017,206,target
500,0,0.783,207,off-target
500,0,0.12,207,target
500,1450,0.474,207,off-target
500,1450,0.976,207,target
500,0,0.184,208,off-target
500,0,0.048,208,target
500,1450,0.053,208,off-target
500,1450,0.279,208,target
500,0,0.115,209,off-target
500,0,0.352,209,target
500,1450,0.119,209,off-target
500,1450,0.628,209,target
500,0,0.428,210,off-target
500,0,0.938,210,target
500,1450,0.842,210,off-target
500,1450,0.307,210,target
500,0,0.407,211,off-target
500,0,0.06,211,target
500,1450,0.902,211,off-target
500,1450,0.382,211,target
500,0,0.107,212,off-target
500,0,0.258,212,target
500,1450,0.594,212,off-target
500,1450,0.259,212,target
500,0,0.637,213,off-target
500,0,0.825,213,target
500,1450,0.445,213,off-target
500,1450,0.061,213,target
500,0,0.828,214,off-target
500,0,0.867,214,target
500,1450,0.908,214,off-target
500,1450,0.476,214,target
500,0,0.463,215,off-target
500,0,0.631,215,target
500,1450,0.583,215,off-target
500,1450,0.078,215,target
500,0,0.137,216,off-target
500,0,0.065,216,target
500,1450,0.291,216,off-target
500,1450,0.919,216,target
500,0,0.477,217,off-target
500,0,0.479,217,target
500,1450,0.361,217,off-target
500,1450,0.948,217,target
500,0,0.9,218,off-target
500,0,0.881,218,target
500,1450,0.716,218,off-target
500,1450,0.222,218,target
500,0,0.204,219,off-target
500,0,0.705,219,target
500,1450,0.963,219,off-target
500,1450,0.423,219,target
500,0,0.185,220,off-target
500,0,0.436,220,target
500,1450,0.986,220,off-target
500,1450,0.559,220,target
500,0,0.975,221,off-target
500,0,0.509,221,target
500,1450,0.651,221,off-target
500,1450,0.788,221,target
500,0,0.381,222,off-target
500,0,0.611,222,target
500,1450,0.695,222,off-target
500,1450,0.5,222,target
500,0,0.014,223,off-target
500,0,0.531,223,target
500,1450,0.882,223,off-target
500,1450,0.526,223,target
500,0,0.999,224,off-target
500,0,0.339,224,target
500,1450,0.451,224,off-target
500,1450,0.689,224,target
500,0,0.365,225,off-target
500,0,0.806,225,target
500,1450,0.248,225,off-target
500,1450,0.194,225,target
500,0,0.926,226,off-target
500,0,0.394,226,target
500,1450,0.49,226,off-target
500,1450,0.671,226,target
500,0,0.277,227,off-target
500,0,0.901,227,target
500,1450,0.217,227,off-target
500,1450,0.155,227,target
500,0,0.61,228,off-target
500,0,0.755,228,target
500,1450,0.414,228,off-target
500,1450,0.805,228,target
500,0,0.818,229,off-target
500,0,0.273,229,target
500,1450,0.025,229,off-target
500,1450,0.894,229,target
500,0,0.198,230,off-target
500,0,0.473,230,target
500,1450,0.455,230,off-target
500,1450,0.625,230,target
500,0,0.61,231,off-target
500,0,0.356,231,target
500,1450,0.02,231,off-target
500,1450,0.081,231,target
500,0,0.794,232,off-target
500,0,0.546,232,target
500,1450,0.864,232,off-target
500,1450,0.274,232,target
500,0,0.191,233,off-target
500,0,0.302,233,target
500,1450,0.035,233,off-target
500,1450,0.889,233,target
500,0,0.657,234,off-target
500,0,0.627,234,target
500,1450,0.001,234,off-target
500,1450,0.367,234,target
500,0,0.725,235,off-target
500,0,0.006,235,target
500,1450,0.39,235,off-target
500,1450,0.365,235,target
500,0,0.693,236,off-target
500,0,0.029,236,target
500,1450,0.505,236,off-target
500,1450,0.091,236,target
500,0,0.349,237,off-target
500,0,0.733,237,target
500,1450,0.147,237,off-target
500,1450,0.005,237,target
500,0,0.287,238,off-target
500,0,0.995,238,target
500,1450,0.964,238,off-target
500,1450,0.449,238,target
500,0,0.221,239,off-target
500,0,0.602,239,target
500,1450,0.245,239,off-target
500,1450,0.489,239,target
500,0,0.511,240,off-target
500,0,0.38,240,target
500,1450,0.288,240,off-target
500,1450,0.177,240,target
500,0,0.494,241,off-target
500,0,0.483,241,target
500,1450,0.21,241,off-target
500,1450,0.819,241,target
500,0,0.873,242,off-target
500,0,0.706,242,target
500,1450,0.269,242,off-target
500,1450,0.334,242,target
500,0,0.409,243,off-target
500,0,0.875,243,target
500,1450,0.511,243,off-target
500,1450,0.343,243,target
500,0,0.257,244,off-target
500,0,0.237,244,target
500,1450,0.278,244,off-target
500,1450,0.466,244,target
500,0,0.294,245,off-target
500,0,0.708,245,target
500,1450,0.382,245,off-target
500,1450,0.766,245,target
500,0,0.327,246,off-target
500,0,0.907,246,target
500,1450,0.741,246,off-target
500,1450,0.692,246,target
500,0,0.93,247,off-target
500,0,0.246,247,target
500,1450,0.141,247,off-target
500,1450,0.205,247,target
500,0,0.233,248,off-target
500,0,0.016,248,target
500,1450,0.106,248,off-target
500,1450,0.201,248,target
500,0,0.066,249,off-target
500,0,0.611,249,target
500,1450,0.132,249,off-target
500,1450,0.589,249,target
500,0,0.821,250,off-target
500,0,0.276,250,target
500,1450,0.849,250,off-target
500,1450,0.325,250,target
500,0,0.714,251,off-target
500,0,0.698,251,target
500,1450,0.365,251,off-target
500,1450,0.978,251,target
500,0,0.473,252,off-target
500,0,0.057,252,target
500,1450,0.566,252,off-target
500,1450,0.697,252,target
500,0,0.997,253,off-target
500,0,0.138,253,target
500,1450,0.011,253,off-target
500,1450,0.982,253,target
500,0,0.441,254,off-target
500,0,0.973,254,target
500,1450,0.493,254,off-target
500,1450,0.31,254,target
500,0,0.304,255,off-target
500,0,0.36,255,target
500,1450,0.267,255,off-target
500,1450,0.644,255,target
500,0,0.245,256,off-target
500,0,0.348,256,target
500,1450,0.235,256,off-target
500,1450,0.117,256,target
500,0,0.17,257,off-target
500,0,0.646,257,target
500,1450,0.052,257,off-target
500,1450,0.251,257,target
