n,p_value,seed,type
500,0.0,565,off-target
500,0.73,565,target
500,0.004,566,off-target
500,0.182,566,target
500,0.002,567,off-target
500,0.027,567,target
500,0.001,568,off-target
500,0.812,568,target
500,0.601,569,off-target
500,0.596,569,target
500,0.165,570,off-target
500,0.47,570,target
500,0.106,571,off-target
500,0.733,571,target
500,0.017,572,off-target
500,0.241,572,target
500,0.001,573,off-target
500,0.018,573,target
500,0.0,574,off-target
500,0.062,574,target
500,0.062,575,off-target
500,0.191,575,target
500,0.006,576,off-target
500,0.772,576,target
500,0.006,577,off-target
500,0.237,577,target
500,0.114,578,off-target
500,0.355,578,target
500,0.0,579,off-target
500,0.215,579,target
500,0.061,580,off-target
500,0.236,580,target
500,0.002,581,off-target
500,0.272,581,target
500,0.06,582,off-target
500,0.821,582,target
500,0.066,583,off-target
500,0.984,583,target
500,0.001,584,off-target
500,0.031,584,target
500,0.082,585,off-target
500,0.132,585,target
500,0.127,586,off-target
500,0.526,586,target
500,0.003,587,off-target
500,0.85,587,target
500,0.005,588,off-target
500,0.304,588,target
500,0.041,589,off-target
500,0.108,589,target
500,0.018,590,off-target
500,0.043,590,target
500,0.049,591,off-target
500,0.126,591,target
500,0.002,592,off-target
500,0.804,592,target
500,0.04,593,off-target
500,0.063,593,target
500,0.113,594,off-target
500,0.886,594,target
500,0.023,595,off-target
500,0.933,595,target
500,0.232,596,off-target
500,0.076,596,target
500,0.0,597,off-target
500,0.485,597,target
500,0.004,598,off-target
500,0.727,598,target
500,0.003,599,off-target
500,0.101,599,target
500,0.002,600,off-target
500,0.144,600,target
500,0.0,601,off-target
500,0.093,601,target
500,0.139,602,off-target
500,0.451,602,target
500,0.003,603,off-target
500,0.527,603,target
500,0.321,604,off-target
500,0.869,604,target
500,0.014,605,off-target
500,0.095,605,target
500,0.241,606,off-target
500,0.535,606,target
500,0.038,607,off-target
500,0.879,607,target
500,0.067,608,off-target
500,0.417,608,target
500,0.086,609,off-target
500,0.764,609,target
500,0.001,610,off-target
500,0.153,610,target
500,0.096,611,off-target
500,0.725,611,target
500,0.258,612,off-target
500,0.516,612,target
