n,t,p_value,seed,type
500,25,0.018,116,off-target
500,25,0.133,116,target
500,50,0.02,116,off-target
500,50,0.264,116,target
500,0,0.59,117,off-target
500,0,0.398,117,target
500,10,0.001,117,off-target
500,10,0.606,117,target
500,25,0.029,117,off-target
500,25,0.34,117,target
500,50,0.017,117,off-target
500,50,0.307,117,target
500,0,0.543,118,off-target
500,0,0.794,118,target
500,10,0.004,118,off-target
500,10,0.52,118,target
500,25,0.136,118,off-target
500,25,0.055,118,target
500,50,0.193,118,off-target
500,50,0.052,118,target
500,0,0.795,119,off-target
500,0,0.593,119,target
500,10,0.007,119,off-target
500,10,0.029,119,target
500,25,0.011,119,off-target
500,25,0.199,119,target
500,50,0.001,119,off-target
500,50,0.096,119,target
500,0,0.078,120,off-target
500,0,0.022,120,target
500,10,0.013,120,off-target
500,10,0.372,120,target
500,25,0.077,120,off-target
500,25,0.423,120,target
500,50,0.004,120,off-target
500,50,0.153,120,target
500,0,0.011,121,off-target
500,0,0.45,121,target
500,10,0.02,121,off-target
500,10,0.607,121,target
500,25,0.112,121,off-target
500,25,0.1,121,target
500,50,0.065,121,off-target
500,50,0.14,121,target
500,0,0.466,122,off-target
500,0,0.161,122,target
500,10,0.035,122,off-target
500,10,0.061,122,target
500,25,0.137,122,off-target
500,25,0.297,122,target
500,50,0.002,122,off-target
500,50,0.14,122,target
500,0,0.895,123,off-target
500,0,0.75,123,target
500,10,0.109,123,off-target
500,10,0.404,123,target
500,25,0.236,123,off-target
500,25,0.551,123,target
500,50,0.052,123,off-target
500,50,0.105,123,target
500,0,0.236,124,off-target
500,0,0.238,124,target
500,10,0.076,124,off-target
500,10,0.348,124,target
500,25,0.033,124,off-target
500,25,0.077,124,target
500,50,0.065,124,off-target
500,50,0.176,124,target
500,0,0.991,125,off-target
500,0,0.317,125,target
500,10,0.047,125,off-target
500,10,0.287,125,target
500,25,0.06,125,off-target
500,25,0.051,125,target
500,50,0.114,125,off-target
500,50,0.268,125,target
500,0,0.129,126,off-target
500,0,0.956,126,target
500,10,0.05,126,off-target
500,10,0.154,126,target
500,25,0.083,126,off-target
500,25,0.23,126,target
500,50,0.096,126,off-target
500,50,0.106,126,target
500,0,0.224,127,off-target
500,0,0.862,127,target
500,10,0.013,127,off-target
500,10,0.554,127,target
500,25,0.004,127,off-target
500,25,0.283,127,target
500,50,0.059,127,off-target
500,50,0.36,127,target
500,0,0.25,128,off-target
500,0,0.84,128,target
500,10,0.001,128,off-target
500,10,0.035,128,target
500,25,0.006,128,off-target
500,25,0.44,128,target
500,50,0.064,128,off-target
500,50,0.028,128,target
500,0,0.352,129,off-target
500,0,0.55,129,target
500,10,0.02,129,off-target
500,10,0.043,129,target
500,25,0.068,129,off-target
500,25,0.027,129,target
500,50,0.017,129,off-target
500,50,0.351,129,target
500,0,0.268,130,off-target
500,0,0.958,130,target
500,10,0.015,130,off-target
500,10,0.151,130,target
500,25,0.142,130,off-target
500,25,0.161,130,target
500,50,0.009,130,off-target
500,50,0.281,130,target
500,0,0.976,131,off-target
500,0,0.811,131,target
500,10,0.09,131,off-target
500,10,0.064,131,target
500,25,0.041,131,off-target
500,25,0.068,131,target
500,50,0.162,131,off-target
500,50,0.203,131,target
500,0,0.581,132,off-target
500,0,0.237,132,target
500,10,0.002,132,off-target
500,10,0.108,132,target
500,25,0.116,132,off-target
500,25,0.604,132,target
500,50,0.002,132,off-target
500,50,0.148,132,target
500,0,0.302,133,off-target
500,0,0.918,133,target
500,10,0.07,133,off-target
500,10,0.079,133,target
500,25,0.09,133,off-target
500,25,0.175,133,target
500,50,0.016,133,off-target
