n,t,p_value,seed,type
500,0,0.76,82,target
500,800,0.135,82,off-target
500,800,0.135,82,target
500,1000,0.967,82,off-target
500,1000,0.543,82,target
500,1200,0.868,82,off-target
500,1200,0.72,82,target
500,0,0.038,83,off-target
500,0,0.682,83,target
500,800,0.146,83,off-target
500,800,0.293,83,target
500,1000,0.351,83,off-target
500,1000,0.612,83,target
500,1200,0.026,83,off-target
500,1200,0.525,83,target
500,0,0.903,84,off-target
500,0,0.915,84,target
500,800,0.128,84,off-target
500,800,0.337,84,target
500,1000,0.066,84,off-target
500,1000,0.643,84,target
500,1200,0.695,84,off-target
500,1200,0.5,84,target
500,0,0.425,85,off-target
500,0,0.716,85,target
500,800,0.228,85,off-target
500,800,0.031,85,target
500,1000,0.806,85,off-target
500,1000,0.632,85,target
500,1200,0.968,85,off-target
500,1200,0.762,85,target
500,0,0.992,86,off-target
500,0,0.153,86,target
500,800,0.423,86,off-target
500,800,0.291,86,target
500,1000,0.673,86,off-target
500,1000,0.037,86,target
500,1200,0.252,86,off-target
500,1200,0.736,86,target
500,0,0.842,87,off-target
500,0,0.925,87,target
500,800,0.833,87,off-target
500,800,0.781,87,target
500,1000,0.44,87,off-target
500,1000,0.848,87,target
500,1200,0.412,87,off-target
500,1200,0.181,87,target
500,0,0.339,88,off-target
500,0,0.798,88,target
500,800,0.204,88,off-target
500,800,0.108,88,target
500,1000,0.058,88,off-target
500,1000,0.035,88,target
500,1200,0.691,88,off-target
500,1200,0.836,88,target
500,0,0.053,89,off-target
500,0,0.728,89,target
500,800,0.262,89,off-target
500,800,0.203,89,target
500,1000,0.091,89,off-target
500,1000,0.226,89,target
500,1200,0.41,89,off-target
500,1200,0.548,89,target
500,0,0.547,90,off-target
500,0,0.357,90,target
500,800,0.259,90,off-target
500,800,0.889,90,target
500,1000,0.031,90,off-target
500,1000,0.168,90,target
500,1200,0.317,90,off-target
500,1200,0.623,90,target
500,0,0.743,91,off-target
500,0,0.532,91,target
500,800,0.773,91,off-target
500,800,0.634,91,target
500,1000,0.542,91,off-target
500,1000,0.527,91,target
500,1200,0.655,91,off-target
500,1200,0.356,91,target
500,0,0.194,92,off-target
500,0,0.6,92,target
500,800,0.078,92,off-target
500,800,0.46,92,target
500,1000,0.607,92,off-target
500,1000,0.382,92,target
500,1200,0.603,92,off-target
500,1200,0.917,92,target
500,0,0.241,93,off-target
500,0,0.841,93,target
500,800,0.491,93,off-target
500,800,0.573,93,target
500,1000,0.704,93,off-target
500,1000,0.502,93,target
500,1200,0.363,93,off-target
500,1200,0.075,93,target
500,0,0.751,94,off-target
500,0,0.776,94,target
500,800,0.79,94,off-target
500,800,0.966,94,target
500,1000,0.642,94,off-target
